J,overall,foreground,recognised
0.3,0.8879846938775511,0.790841022298043,0.88
0.5,0.9423724489795917,0.6201842649539722,0.68
0.7,0.9260714285714287,0.3627962216276535,0.48
1.0,0.9132908163265305,0.2410371501928558,0.38
