mode,kappa,psnr,ssim,psnr_barbara,ssim_barbara
isotropic,nan,24.10384261313962,0.6074091226675151,22.89788439568557,0.5846164364999688
perona_malik,0.05,22.469313629992104,0.5300040651756789,21.868390714835584,0.5416421340523647
perona_malik,0.1,23.715383567010566,0.595218445165776,22.708322881275976,0.586364279237747
perona_malik,0.15,23.99422343826821,0.6028240499764613,22.855284197115836,0.588072186146208
perona_malik,0.25,24.12157891582572,0.6067939766001198,22.878807507685256,0.5841155776925383
perona_malik,0.4,24.116089633979097,0.6072444252818188,22.895998754117667,0.5854227906142394
cohen,0.05,22.063325797600168,0.5293653355815717,21.851051074701466,0.5082632102765259
cohen,0.1,23.556379546441836,0.5915855362248025,22.632848731395725,0.5645459895505612
cohen,0.15,23.864203646689674,0.6013308860562104,22.79671572282641,0.5763716309032278
cohen,0.25,24.003194441398918,0.60584547992176,22.86373871827793,0.5805688566622659
cohen,0.4,24.061409673736705,0.6064313431680324,22.87699844720151,0.584122910000096
